canonical_tag,evidence_type,model_applicability,source_url,notes
parted bangs,DOCUMENTED_HAIR,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official front-hair vocabulary.
knee boots,DOCUMENTED_FOOTWEAR,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official footwear vocabulary.
lens flare,DOCUMENTED_EFFECT,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-artstyles/,Official NovelAI special-effect tag.
color trace,DOCUMENTED_STYLE,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-artstyles/,Official drawing-technique tag.
straight hair,DOCUMENTED_HAIR,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official hair-texture tag.
hair between eyes,DOCUMENTED_HAIR,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official front-hair tag.
gradient hair,DOCUMENTED_HAIR,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official complex hair-color tag.
streaked hair,DOCUMENTED_HAIR,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official complex hair-color tag.
wavy hair,DOCUMENTED_HAIR,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official hair-texture tag.
curly hair,DOCUMENTED_HAIR,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official hair-texture tag.
medium hair,DOCUMENTED_HAIR,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official hair-length tag.
blonde hair,DOCUMENTED_HAIR,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official hair-color tag.
red eyes,DOCUMENTED_EYES,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official eye-color tag.
black eyes,DOCUMENTED_EYES,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official eye-color tag.
green eyes,DOCUMENTED_EYES,NovelAI Anime models,https://docs.novelai.net/en/image/tutorial-charactercreation/,Official eye-color tag.
worst quality,DOCUMENTED_UC_CONCEPT,Current NovelAI V4.5,https://docs.novelai.net/en/image/undesiredcontent/,"Current V4.5 UC concept; normally used in Undesired Content, not positive prompt."
jpeg artifacts,DOCUMENTED_UC_CONCEPT,Current NovelAI V4.5,https://docs.novelai.net/en/image/undesiredcontent/,Current V4.5 UC concept.
bad anatomy,DOCUMENTED_UC_CONCEPT,V4.5 Human Focus UC,https://docs.novelai.net/en/image/undesiredcontent/,Documented Human Focus UC concept.
watermark,DOCUMENTED_UC_CONCEPT,NovelAI UC families,https://docs.novelai.net/en/image/undesiredcontent/,Documented UC concept; exact preset wording is model-dependent.
glowing eyes,DOCUMENTED_UC_CONCEPT,V4.5 Human Focus UC,https://docs.novelai.net/en/image/undesiredcontent/,Recognized in current UC; use positively only when actually desired.
